Quant,QNT,78.19,https://coinmarketcap.com/currencies/quant/
Paxos Standard,PAX,1.00,https://coinmarketcap.com/currencies/paxos-standard/
Nexo,NEXO,1.62,https://coinmarketcap.com/currencies/nexo/
Flow,FLOW,17.73,https://coinmarketcap.com/currencies/flow/
NEAR Protocol,NEAR,2.14,https://coinmarketcap.com/currencies/near-protocol/
Mdex,MDX,1.60,https://coinmarketcap.com/currencies/mdex/
Zilliqa,ZIL,0.07,https://coinmarketcap.com/currencies/zilliqa/
Basic Attention Token,BAT,0.56,https://coinmarketcap.com/currencies/basic-attention-token/
Harmony,ONE,0.08,https://coinmarketcap.com/currencies/harmony/
Bitcoin Gold,BTG,44.12,https://coinmarketcap.com/currencies/bitcoin-gold/
Celo,CELO,2.89,https://coinmarketcap.com/currencies/celo/
Bancor,BNT,3.20,https://coinmarketcap.com/currencies/bancor/
Horizen,ZEN,60.25,https://coinmarketcap.com/currencies/horizen/
Curve DAO Token,CRV,1.75,https://coinmarketcap.com/currencies/curve-dao-token/
Qtum,QTUM,6.71,https://coinmarketcap.com/currencies/qtum/
0x,ZRX,0.77,https://coinmarketcap.com/currencies/0x/
OKB,OKB,10.64,https://coinmarketcap.com/currencies/okb/
SwissBorg,CHSB,0.62,https://coinmarketcap.com/currencies/swissborg/
Siacoin,SC,0.01,https://coinmarketcap.com/currencies/siacoin/
Ontology,ONT,0.70,https://coinmarketcap.com/currencies/ontology/
Nano,NANO,4.60,https://coinmarketcap.com/currencies/nano/
DigiByte,DGB,0.04,https://coinmarketcap.com/currencies/digibyte/
Fantom,FTM,0.23,https://coinmarketcap.com/currencies/fantom/
ICON,ICX,0.92,https://coinmarketcap.com/currencies/icon/
OMG Network,OMG,4.18,https://coinmarketcap.com/currencies/omg/
