UniCrypt,https://coinmarketcap.com/currencies/uncx/,33747
VEROX,https://coinmarketcap.com/currencies/verox/,32795
Vectorium,https://coinmarketcap.com/currencies/vectorium/,32536
Binance Coin,https://coinmarketcap.com/currencies/binance-coin/,31053
ODE,https://coinmarketcap.com/currencies/ode/,30985
Wrapped BNB,https://coinmarketcap.com/currencies/wbnb/,30969
sBNB,https://coinmarketcap.com/currencies/sbnb/,30859
SIL.FINANCE,https://coinmarketcap.com/currencies/sil-finance/,30737
saffron.finance,https://coinmarketcap.com/currencies/saffron-finance/,30688
Wrapped Virgin Gen-0 CryptoKitties,https://coinmarketcap.com/currencies/wrapped-virgin-gen-0-cryptokitties/,30378
Neko Network,https://coinmarketcap.com/currencies/neko-network/,30231
PayPal tokenized stock FTX,https://coinmarketcap.com/currencies/paypal-tokenized-stock-ftx/,30043
Mixin,https://coinmarketcap.com/currencies/mixin/,29870
NewB.Farm,https://coinmarketcap.com/currencies/newb-farm/,29724
Alchemix,https://coinmarketcap.com/currencies/alchemix/,29452
DeFi Pulse Index,https://coinmarketcap.com/currencies/defi-pulse-index/,28750
Interest Bearing Defi Pulse Index,https://coinmarketcap.com/currencies/interest-bearing-dpi/,28602
Mirrored Microsoft,https://coinmarketcap.com/currencies/mirrored-microsoft/,28120
Aave,https://coinmarketcap.com/currencies/aave/,27958
Matic Aave Interest Bearing AAVE,https://coinmarketcap.com/currencies/matic-aave-aave/,27793
SEED,https://coinmarketcap.com/currencies/seed/,27162
xSuter,https://coinmarketcap.com/currencies/xsuter/,26979
DXdao,https://coinmarketcap.com/currencies/dxdao/,26626
AmericanHorror.Finance,https://coinmarketcap.com/currencies/americanhorror-finance/,25831
Strong,https://coinmarketcap.com/currencies/strong/,25348
Moderna tokenized stock FTX,https://coinmarketcap.com/currencies/moderna-tokenized-stock-ftx/,24675
Square tokenized stock FTX,https://coinmarketcap.com/currencies/square-tokenized-stock-ftx/,24003
Octree,https://coinmarketcap.com/currencies/octree/,23855
AGAr,https://coinmarketcap.com/currencies/agar/,23560
Coinbase tokenized stock FTX,https://coinmarketcap.com/currencies/coinbase-pre-ipo-tokenized-stock-ftx/,23410
Chia Network,https://coinmarketcap.com/currencies/chia-network/,23168
Spaceswap SHAKE,https://coinmarketcap.com/currencies/shake/,22900
BNBUP,https://coinmarketcap.com/currencies/bnbup/,22812
Mirrored Alibaba,https://coinmarketcap.com/currencies/mirrored-alibaba/,21745
Alibaba tokenized stock Bittrex,https://coinmarketcap.com/currencies/alibaba-tokenized-stock-bittrex/,21650
Alibaba tokenized stock FTX,https://coinmarketcap.com/currencies/alibaba-tokenized-stock-ftx/,21210
BioNTech tokenized stock FTX,https://coinmarketcap.com/currencies/biontech-tokenized-stock-ftx/,21180
Wrapped Monero,https://coinmarketcap.com/currencies/wrapped-monero/,20995
BioNTech tokenized stock Bittrex,https://coinmarketcap.com/currencies/biontech-tokenized-stock-bittrex/,20937
Trade Butler Bot,https://coinmarketcap.com/currencies/trade-butler-bot/,20397
Monero,https://coinmarketcap.com/currencies/monero/,20252
